[0.000000] (-) TimerEvent: {}
[0.001280] (-) JobUnselected: {'identifier': 'ghst_rc'}
[0.001290] (-) JobUnselected: {'identifier': 'gimbal'}
[0.001299] (-) JobUnselected: {'identifier': 'gpio'}
[0.001308] (-) JobUnselected: {'identifier': 'gps'}
[0.001318] (-) JobUnselected: {'identifier': 'gy_us42'}
[0.001328] (-) JobUnselected: {'identifier': 'gyro_calibration'}
[0.001337] (-) JobUnselected: {'identifier': 'gyro_fft'}
[0.001347] (-) JobUnselected: {'identifier': 'gz_bridge'}
[0.001501] (-) JobUnselected: {'identifier': 'gz_msgs'}
[0.001515] (-) JobUnselected: {'identifier': 'hardfault_log'}
[0.001525] (-) JobUnselected: {'identifier': 'hardfault_stream'}
[0.001535] (-) JobUnselected: {'identifier': 'heater'}
[0.001544] (-) JobUnselected: {'identifier': 'hello'}
[0.001554] (-) JobUnselected: {'identifier': 'hist'}
[0.001563] (-) JobUnselected: {'identifier': 'i2c_launcher'}
[0.001572] (-) JobUnselected: {'identifier': 'i2cdetect'}
[0.001590] (-) JobUnselected: {'identifier': 'iam20680hp'}
[0.001599] (-) JobUnselected: {'identifier': 'icm20602'}
[0.001609] (-) JobUnselected: {'identifier': 'icm20608g'}
[0.001618] (-) JobUnselected: {'identifier': 'icm20649'}
[0.001627] (-) JobUnselected: {'identifier': 'icm20689'}
[0.001637] (-) JobUnselected: {'identifier': 'icm20948'}
[0.001646] (-) JobUnselected: {'identifier': 'icm40609d'}
[0.001655] (-) JobUnselected: {'identifier': 'icm42605'}
[0.001665] (-) JobUnselected: {'identifier': 'icm42670p'}
[0.001674] (-) JobUnselected: {'identifier': 'icm42688p'}
[0.001683] (-) JobUnselected: {'identifier': 'icm45686'}
[0.001692] (-) JobUnselected: {'identifier': 'iim42652'}
[0.001701] (-) JobUnselected: {'identifier': 'iim42653'}
[0.001711] (-) JobUnselected: {'identifier': 'ilabs'}
[0.001720] (-) JobUnselected: {'identifier': 'ina220'}
[0.001730] (-) JobUnselected: {'identifier': 'ina226'}
[0.001739] (-) JobUnselected: {'identifier': 'ina228'}
[0.001748] (-) JobUnselected: {'identifier': 'ina238'}
[0.001758] (-) JobUnselected: {'identifier': 'internal_combustion_engine_control'}
[0.001767] (-) JobUnselected: {'identifier': 'io_bypass_control'}
[0.001777] (-) JobUnselected: {'identifier': 'irlock'}
[0.001786] (-) JobUnselected: {'identifier': 'l3gd20'}
[0.001795] (-) JobUnselected: {'identifier': 'land_detector'}
[0.001804] (-) JobUnselected: {'identifier': 'landing_target_estimator'}
[0.001816] (-) JobUnselected: {'identifier': 'launch_kmod'}
[0.001841] (-) JobUnselected: {'identifier': 'led_control'}
[0.001850] (-) JobUnselected: {'identifier': 'leddar_one'}
[0.001859] (-) JobUnselected: {'identifier': 'lib'}
[0.001869] (-) JobUnselected: {'identifier': 'lights'}
[0.001878] (-) JobUnselected: {'identifier': 'lightware_laser_i2c'}
[0.001887] (-) JobUnselected: {'identifier': 'lightware_laser_serial'}
[0.001897] (-) JobUnselected: {'identifier': 'lightware_sf45_serial'}
[0.001906] (-) JobUnselected: {'identifier': 'linux_pwm_out'}
[0.001916] (-) JobUnselected: {'identifier': 'll40ls'}
[0.001925] (-) JobUnselected: {'identifier': 'll40ls_pwm'}
[0.001934] (-) JobUnselected: {'identifier': 'load_mon'}
[0.001944] (-) JobUnselected: {'identifier': 'local_position_estimator'}
[0.001953] (-) JobUnselected: {'identifier': 'logger'}
[0.001962] (-) JobUnselected: {'identifier': 'lsm303d'}
[0.001972] (-) JobUnselected: {'identifier': 'lsm9ds1'}
[0.001981] (-) JobUnselected: {'identifier': 'mag_bias_estimator'}
[0.001990] (-) JobUnselected: {'identifier': 'magnetometer'}
[0.001999] (-) JobUnselected: {'identifier': 'manual_control'}
[0.002009] (-) JobUnselected: {'identifier': 'mappydot'}
[0.002018] (-) JobUnselected: {'identifier': 'matlab_csv_serial'}
[0.002027] (-) JobUnselected: {'identifier': 'mavlink'}
[0.002036] (-) JobUnselected: {'identifier': 'mb12xx'}
[0.002046] (-) JobUnselected: {'identifier': 'mc_att_control'}
[0.002055] (-) JobUnselected: {'identifier': 'mc_autotune_attitude_control'}
[0.002065] (-) JobUnselected: {'identifier': 'mc_hover_thrust_estimator'}
[0.002074] (-) JobUnselected: {'identifier': 'mc_nn_control'}
[0.002083] (-) JobUnselected: {'identifier': 'mc_pos_control'}
[0.002093] (-) JobUnselected: {'identifier': 'mc_raptor'}
[0.002102] (-) JobUnselected: {'identifier': 'mc_rate_control'}
[0.002111] (-) JobUnselected: {'identifier': 'mcp23009'}
[0.002120] (-) JobUnselected: {'identifier': 'mcp23017'}
[0.002130] (-) JobUnselected: {'identifier': 'mcp9808'}
[0.002139] (-) JobUnselected: {'identifier': 'mft'}
[0.002149] (-) JobUnselected: {'identifier': 'mft_cfg'}
[0.002159] (-) JobUnselected: {'identifier': 'microbench'}
[0.002212] (-) JobUnselected: {'identifier': 'microstrain'}
[0.002223] (-) JobUnselected: {'identifier': 'mpu6000'}
[0.002233] (-) JobUnselected: {'identifier': 'mpu6500'}
[0.002242] (-) JobUnselected: {'identifier': 'mpu9250'}
[0.002251] (-) JobUnselected: {'identifier': 'ms4515'}
[0.002261] (-) JobUnselected: {'identifier': 'ms4525do'}
[0.002270] (-) JobUnselected: {'identifier': 'ms5525dso'}
[0.002280] (-) JobUnselected: {'identifier': 'msp_osd'}
[0.002289] (-) JobUnselected: {'identifier': 'mtd'}
[0.002298] (-) JobUnselected: {'identifier': 'navigator'}
[0.002308] (-) JobUnselected: {'identifier': 'netman'}
[0.002317] (-) JobUnselected: {'identifier': 'nshterm'}
[0.002326] (-) JobUnselected: {'identifier': 'offboard_rl'}
[0.002335] (-) JobUnselected: {'identifier': 'paa3905'}
[0.002344] (-) JobUnselected: {'identifier': 'param'}
[0.002354] (-) JobUnselected: {'identifier': 'paw3902'}
[0.002363] (-) JobUnselected: {'identifier': 'payload_deliverer'}
[0.002372] (-) JobUnselected: {'identifier': 'pca9685_pwm_out'}
[0.002381] (-) JobUnselected: {'identifier': 'pcf8583'}
[0.002391] (-) JobUnselected: {'identifier': 'perf'}
[0.002400] (-) JobUnselected: {'identifier': 'pga460'}
[0.002410] (-) JobUnselected: {'identifier': 'pmw3901'}
[0.002419] (-) JobUnselected: {'identifier': 'posix'}
[0.002428] (-) JobUnselected: {'identifier': 'pps_capture'}
[0.002437] (-) JobUnselected: {'identifier': 'pwm_input'}
[0.002446] (-) JobUnselected: {'identifier': 'pwm_out'}
[0.002456] (-) JobUnselected: {'identifier': 'pwm_out_sim'}
[0.002465] (-) JobUnselected: {'identifier': 'px4'}
[0.002474] (-) JobUnselected: {'identifier': 'px4_gz_plugins'}
[0.002483] (-) JobUnselected: {'identifier': 'px4_mavlink_debug'}
[0.002492] (-) JobUnselected: {'identifier': 'px4_simple_app'}
[0.002502] (-) JobUnselected: {'identifier': 'px4flow'}
[0.002511] (-) JobUnselected: {'identifier': 'px4io'}
[0.002521] (-) JobUnselected: {'identifier': 'px4iofirmware'}
[0.002530] (-) JobUnselected: {'identifier': 'qurt'}
[0.002539] (-) JobUnselected: {'identifier': 'rc_input'}
[0.002548] (-) JobUnselected: {'identifier': 'rc_update'}
[0.002557] (-) JobUnselected: {'identifier': 'reboot'}
[0.002566] (-) JobUnselected: {'identifier': 'reflect'}
[0.002575] (-) JobUnselected: {'identifier': 'replay'}
[0.002585] (-) JobUnselected: {'identifier': 'roboclaw'}
[0.002594] (-) JobUnselected: {'identifier': 'rover_ackermann'}
[0.002603] (-) JobUnselected: {'identifier': 'rover_differential'}
[0.002613] (-) JobUnselected: {'identifier': 'rover_mecanum'}
[0.002622] (-) JobUnselected: {'identifier': 'rpi_rc_in'}
[0.002631] (-) JobUnselected: {'identifier': 'rpm_capture'}
[0.002641] (-) JobUnselected: {'identifier': 'rpm_simulator'}
[0.002650] (-) JobUnselected: {'identifier': 'safety_button'}
[0.002660] (-) JobUnselected: {'identifier': 'sbgecom'}
[0.002669] (-) JobUnselected: {'identifier': 'sbus_rc'}
[0.002678] (-) JobUnselected: {'identifier': 'sch16t'}
[0.002687] (-) JobUnselected: {'identifier': 'sd_bench'}
[0.002697] (-) JobUnselected: {'identifier': 'sd_stress'}
[0.002706] (-) JobUnselected: {'identifier': 'sdp3x'}
[0.002715] (-) JobUnselected: {'identifier': 'sensor_agp_sim'}
[0.002724] (-) JobUnselected: {'identifier': 'sensor_airspeed_sim'}
[0.002734] (-) JobUnselected: {'identifier': 'sensor_baro_sim'}
[0.002744] (-) JobUnselected: {'identifier': 'sensor_gps_sim'}
[0.002754] (-) JobUnselected: {'identifier': 'sensor_mag_sim'}
[0.002763] (-) JobUnselected: {'identifier': 'sensors'}
[0.002773] (-) JobUnselected: {'identifier': 'septentrio'}
[0.002782] (-) JobUnselected: {'identifier': 'serial_passthru'}
[0.002792] (-) JobUnselected: {'identifier': 'serial_test'}
[0.002801] (-) JobUnselected: {'identifier': 'sht3x'}
[0.002814] (-) JobUnselected: {'identifier': 'shutdown'}
[0.002824] (-) JobUnselected: {'identifier': 'simulator_mavlink'}
[0.002834] (-) JobUnselected: {'identifier': 'simulator_sih'}
[0.002845] (-) JobUnselected: {'identifier': 'slpi'}
[0.002855] (-) JobUnselected: {'identifier': 'spacecraft'}
[0.002865] (-) JobUnselected: {'identifier': 'srf02'}
[0.002875] (-) JobUnselected: {'identifier': 'srf05'}
[0.002888] (-) JobUnselected: {'identifier': 'stub_keystore'}
[0.002901] (-) JobUnselected: {'identifier': 'sw_crypto'}
[0.002925] (-) JobUnselected: {'identifier': 'system_power_simulator'}
[0.002935] (-) JobUnselected: {'identifier': 'system_time'}
[0.002944] (-) JobUnselected: {'identifier': 'tap_esc'}
[0.002953] (-) JobUnselected: {'identifier': 'tattu_can'}
[0.002963] (-) JobUnselected: {'identifier': 'telemetry'}
[0.002973] (-) JobUnselected: {'identifier': 'temperature_compensation'}
[0.002982] (-) JobUnselected: {'identifier': 'template_module'}
[0.002992] (-) JobUnselected: {'identifier': 'teraranger'}
[0.003001] (-) JobUnselected: {'identifier': 'test_ppm'}
[0.003011] (-) JobUnselected: {'identifier': 'tests'}
[0.003020] (-) JobUnselected: {'identifier': 'tf02pro'}
[0.003037] (-) JobUnselected: {'identifier': 'tfmini'}
[0.003047] (-) JobUnselected: {'identifier': 'thoneflow'}
[0.003057] (-) JobUnselected: {'identifier': 'time_persistor'}
[0.003066] (-) JobUnselected: {'identifier': 'tla2528'}
[0.003076] (-) JobUnselected: {'identifier': 'tmp102'}
[0.003086] (-) JobUnselected: {'identifier': 'tone_alarm'}
[0.003095] (-) JobUnselected: {'identifier': 'top'}
[0.003104] (-) JobUnselected: {'identifier': 'topic_listener'}
[0.003114] (-) JobUnselected: {'identifier': 'transponder'}
[0.003123] (-) JobUnselected: {'identifier': 'tune_control'}
[0.003132] (-) JobUnselected: {'identifier': 'uavcan'}
[0.003141] (-) JobUnselected: {'identifier': 'uavcannode'}
[0.003151] (-) JobUnselected: {'identifier': 'ulanding_radar'}
[0.003160] (-) JobUnselected: {'identifier': 'uorb'}
[0.003169] (-) JobUnselected: {'identifier': 'usb_connected'}
[0.003178] (-) JobUnselected: {'identifier': 'uuv_att_control'}
[0.003188] (-) JobUnselected: {'identifier': 'uuv_pos_control'}
[0.003197] (-) JobUnselected: {'identifier': 'uwb'}
[0.003207] (-) JobUnselected: {'identifier': 'uxrce_dds_client'}
[0.003216] (-) JobUnselected: {'identifier': 'vectornav'}
[0.003225] (-) JobUnselected: {'identifier': 'ver'}
[0.003234] (-) JobUnselected: {'identifier': 'vertiq_io'}
[0.003243] (-) JobUnselected: {'identifier': 'vl53l0x'}
[0.003252] (-) JobUnselected: {'identifier': 'vl53l1x'}
[0.003261] (-) JobUnselected: {'identifier': 'voxl2_io'}
[0.003271] (-) JobUnselected: {'identifier': 'voxl_esc'}
[0.003280] (-) JobUnselected: {'identifier': 'voxlpm'}
[0.003289] (-) JobUnselected: {'identifier': 'vtol_att_control'}
[0.003298] (-) JobUnselected: {'identifier': 'vtx'}
[0.003308] (-) JobUnselected: {'identifier': 'vtxtable'}
[0.003317] (-) JobUnselected: {'identifier': 'work_item'}
[0.003327] (-) JobUnselected: {'identifier': 'work_queue'}
[0.003336] (-) JobUnselected: {'identifier': 'zenoh'}
[0.003349] (force_land) JobQueued: {'identifier': 'force_land', 'dependencies': OrderedDict()}
[0.003363] (force_land) JobStarted: {'identifier': 'force_land'}
[0.009493] (force_land) JobProgress: {'identifier': 'force_land', 'progress': 'cmake'}
[0.010516] (force_land) Command: {'cmd': ['/usr/bin/cmake', '/home/telemaque/Robotics_Lab/ros2_ws/force_land', '-DCMAKE_INSTALL_PREFIX=/home/telemaque/Robotics_Lab/ros2_ws/install/force_land'], 'cwd': '/home/telemaque/Robotics_Lab/ros2_ws/build/force_land', 'env': OrderedDict([('LESSOPEN', '| /usr/bin/lesspipe %s'), ('USER', 'telemaque'), ('LC_TIME', 'it_IT.UTF-8'), ('XDG_SESSION_TYPE', 'wayland'), ('SHLVL', '1'), ('LD_LIBRARY_PATH', '/opt/ros/humble/opt/rviz_ogre_vendor/lib:/opt/ros/humble/lib/x86_64-linux-gnu:/opt/ros/humble/lib'), ('HOME', '/home/telemaque'), ('OLDPWD', '/home/telemaque/Robotics_Lab/ros2_ws/PX4-Autopilot'), ('DESKTOP_SESSION', 'ubuntu'), ('ROS_PYTHON_VERSION', '3'), ('GNOME_SHELL_SESSION_MODE', 'ubuntu'), ('GTK_MODULES', 'gail:atk-bridge'), ('LC_MONETARY', 'it_IT.UTF-8'), ('SYSTEMD_EXEC_PID', '4129'), ('DBUS_SESSION_BUS_ADDRESS', 'unix:path=/run/user/1000/bus'), ('COLORTERM', 'truecolor'), ('IM_CONFIG_PHASE', '1'), ('WAYLAND_DISPLAY', 'wayland-0'), ('COLCON_PREFIX_PATH', '/home/telemaque/Robotics_Lab/ros2_ws/install'), ('ROS_DISTRO', 'humble'), ('LOGNAME', 'telemaque'), ('_', '/usr/bin/colcon'), ('ROS_VERSION', '2'), ('XDG_SESSION_CLASS', 'user'), ('USERNAME', 'telemaque'), ('TERM', 'xterm-256color'), ('GNOME_DESKTOP_SESSION_ID', 'this-is-deprecated'), ('ROS_LOCALHOST_ONLY', '0'), ('PATH', '/opt/ros/humble/bin:/home/telemaque/.local/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/snap/bin:/opt/xtensa-esp-elf/bin/'), ('SESSION_MANAGER', 'local/telemaque-Aspire-AV14-51:@/tmp/.ICE-unix/1882,unix/telemaque-Aspire-AV14-51:/tmp/.ICE-unix/1882'), ('XDG_MENU_PREFIX', 'gnome-'), ('LC_ADDRESS', 'it_IT.UTF-8'), ('GNOME_TERMINAL_SCREEN', '/org/gnome/Terminal/screen/953b11d7_ad87_453b_a549_bf49a03c1435'), ('GNOME_SETUP_DISPLAY', ':1'), ('XDG_RUNTIME_DIR', '/run/user/1000'), ('DISPLAY', ':0'), ('LANG', 'fr_FR.UTF-8'), ('XDG_CURRENT_DESKTOP', 'ubuntu:GNOME'), ('LC_TELEPHONE', 'it_IT.UTF-8'), ('XMODIFIERS', '@im=ibus'), ('XDG_SESSION_DESKTOP', 'ubuntu'), ('XAUTHORITY', '/run/user/1000/.mutter-Xwaylandauth.XDJJJ3'), ('LS_COLORS', 'rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=00:su=37;41:sg=30;43:ca=30;41:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.tar=01;31:*.tgz=01;31:*.arc=01;31:*.arj=01;31:*.taz=01;31:*.lha=01;31:*.lz4=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.tzo=01;31:*.t7z=01;31:*.zip=01;31:*.z=01;31:*.dz=01;31:*.gz=01;31:*.lrz=01;31:*.lz=01;31:*.lzo=01;31:*.xz=01;31:*.zst=01;31:*.tzst=01;31:*.bz2=01;31:*.bz=01;31:*.tbz=01;31:*.tbz2=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.war=01;31:*.ear=01;31:*.sar=01;31:*.rar=01;31:*.alz=01;31:*.ace=01;31:*.zoo=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.cab=01;31:*.wim=01;31:*.swm=01;31:*.dwm=01;31:*.esd=01;31:*.jpg=01;35:*.jpeg=01;35:*.mjpg=01;35:*.mjpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.webm=01;35:*.webp=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=00;36:*.au=00;36:*.flac=00;36:*.m4a=00;36:*.mid=00;36:*.midi=00;36:*.mka=00;36:*.mp3=00;36:*.mpc=00;36:*.ogg=00;36:*.ra=00;36:*.wav=00;36:*.oga=00;36:*.opus=00;36:*.spx=00;36:*.xspf=00;36:'), ('GNOME_TERMINAL_SERVICE', ':1.111'), ('SSH_AGENT_LAUNCHER', 'gnome-keyring'), ('SSH_AUTH_SOCK', '/run/user/1000/keyring/ssh'), ('AMENT_PREFIX_PATH', '/opt/ros/humble'), ('SHELL', '/bin/bash'), ('LC_NAME', 'it_IT.UTF-8'), ('QT_ACCESSIBILITY', '1'), ('GDMSESSION', 'ubuntu'), ('LESSCLOSE', '/usr/bin/lesspipe %s %s'), ('LC_MEASUREMENT', 'it_IT.UTF-8'), ('LC_IDENTIFICATION', 'it_IT.UTF-8'), ('QT_IM_MODULE', 'ibus'), ('PWD', '/home/telemaque/Robotics_Lab/ros2_ws/build/force_land'), ('XDG_CONFIG_DIRS', '/etc/xdg/xdg-ubuntu:/etc/xdg'), ('XDG_DATA_DIRS', '/usr/share/ubuntu:/usr/local/share/:/usr/share/:/var/lib/snapd/desktop'), ('PYTHONPATH', '/opt/ros/humble/lib/python3.10/site-packages:/opt/ros/humble/local/lib/python3.10/dist-packages'), ('LC_NUMERIC', 'it_IT.UTF-8'), ('LC_PAPER', 'it_IT.UTF-8'), ('COLCON', '1'), ('VTE_VERSION', '6800'), ('CMAKE_PREFIX_PATH', '/opt/ros/humble')]), 'shell': False}
[0.021314] (force_land) StdoutLine: {'line': b'-- Found ament_cmake: 1.3.12 (/opt/ros/humble/share/ament_cmake/cmake)\n'}
[0.099492] (-) TimerEvent: {}
[0.152132] (force_land) StderrLine: {'line': b'\x1b[31mCMake Error at CMakeLists.txt:20 (find_package):\n'}
[0.152417] (force_land) StderrLine: {'line': b'  By not providing "Findpx4_msgs.cmake" in CMAKE_MODULE_PATH this project has\n'}
[0.152555] (force_land) StderrLine: {'line': b'  asked CMake to find a package configuration file provided by "px4_msgs",\n'}
[0.152671] (force_land) StderrLine: {'line': b'  but CMake did not find one.\n'}
[0.152781] (force_land) StderrLine: {'line': b'\n'}
[0.152881] (force_land) StderrLine: {'line': b'  Could not find a package configuration file provided by "px4_msgs" with any\n'}
[0.152948] (force_land) StderrLine: {'line': b'  of the following names:\n'}
[0.153008] (force_land) StderrLine: {'line': b'\n'}
[0.153063] (force_land) StderrLine: {'line': b'    px4_msgsConfig.cmake\n'}
[0.153119] (force_land) StderrLine: {'line': b'    px4_msgs-config.cmake\n'}
[0.153174] (force_land) StderrLine: {'line': b'\n'}
[0.153229] (force_land) StderrLine: {'line': b'  Add the installation prefix of "px4_msgs" to CMAKE_PREFIX_PATH or set\n'}
[0.153284] (force_land) StderrLine: {'line': b'  "px4_msgs_DIR" to a directory containing one of the above files.  If\n'}
[0.153339] (force_land) StderrLine: {'line': b'  "px4_msgs" provides a separate development package or SDK, be sure it has\n'}
[0.153394] (force_land) StderrLine: {'line': b'  been installed.\n'}
[0.153448] (force_land) StderrLine: {'line': b'\n'}
[0.153501] (force_land) StderrLine: {'line': b'\x1b[0m\n'}
[0.153555] (force_land) StdoutLine: {'line': b'-- Configuring incomplete, errors occurred!\n'}
[0.153621] (force_land) StdoutLine: {'line': b'See also "/home/telemaque/Robotics_Lab/ros2_ws/build/force_land/CMakeFiles/CMakeOutput.log".\n'}
[0.154345] (force_land) CommandEnded: {'returncode': 1}
[0.173608] (force_land) JobEnded: {'identifier': 'force_land', 'rc': 1}
[0.184072] (-) EventReactorShutdown: {}
