[0.000000] (-) TimerEvent: {}
[0.001285] (-) JobUnselected: {'identifier': 'dyn_hello'}
[0.001300] (-) JobUnselected: {'identifier': 'ekf2'}
[0.001316] (-) JobUnselected: {'identifier': 'esc_battery'}
[0.001331] (-) JobUnselected: {'identifier': 'ets'}
[0.001346] (-) JobUnselected: {'identifier': 'eulernav_bahrs'}
[0.001362] (-) JobUnselected: {'identifier': 'events'}
[0.001377] (-) JobUnselected: {'identifier': 'failure'}
[0.001392] (-) JobUnselected: {'identifier': 'fake_gps'}
[0.001407] (-) JobUnselected: {'identifier': 'fake_imu'}
[0.001422] (-) JobUnselected: {'identifier': 'fake_magnetometer'}
[0.001438] (-) JobUnselected: {'identifier': 'flight_mode_manager'}
[0.001453] (-) JobUnselected: {'identifier': 'force_land'}
[0.001468] (-) JobUnselected: {'identifier': 'ft_technologies'}
[0.001483] (-) JobUnselected: {'identifier': 'fw_att_control'}
[0.001499] (-) JobUnselected: {'identifier': 'fw_autotune_attitude_control'}
[0.001514] (-) JobUnselected: {'identifier': 'fw_lateral_longitudinal_control'}
[0.001530] (-) JobUnselected: {'identifier': 'fw_mode_manager'}
[0.001545] (-) JobUnselected: {'identifier': 'fw_rate_control'}
[0.001560] (-) JobUnselected: {'identifier': 'fxas21002c'}
[0.001575] (-) JobUnselected: {'identifier': 'fxos8701cq'}
[0.001590] (-) JobUnselected: {'identifier': 'ghst_rc'}
[0.001606] (-) JobUnselected: {'identifier': 'gimbal'}
[0.001621] (-) JobUnselected: {'identifier': 'gpio'}
[0.001636] (-) JobUnselected: {'identifier': 'gps'}
[0.001651] (-) JobUnselected: {'identifier': 'gy_us42'}
[0.001666] (-) JobUnselected: {'identifier': 'gyro_calibration'}
[0.001682] (-) JobUnselected: {'identifier': 'gyro_fft'}
[0.001712] (-) JobUnselected: {'identifier': 'gz_bridge'}
[0.001728] (-) JobUnselected: {'identifier': 'gz_msgs'}
[0.001744] (-) JobUnselected: {'identifier': 'hardfault_log'}
[0.001759] (-) JobUnselected: {'identifier': 'hardfault_stream'}
[0.001775] (-) JobUnselected: {'identifier': 'heater'}
[0.001791] (-) JobUnselected: {'identifier': 'hello'}
[0.001806] (-) JobUnselected: {'identifier': 'hist'}
[0.001821] (-) JobUnselected: {'identifier': 'i2c_launcher'}
[0.001848] (-) JobUnselected: {'identifier': 'i2cdetect'}
[0.001864] (-) JobUnselected: {'identifier': 'iam20680hp'}
[0.001879] (-) JobUnselected: {'identifier': 'icm20602'}
[0.001895] (-) JobUnselected: {'identifier': 'icm20608g'}
[0.001910] (-) JobUnselected: {'identifier': 'icm20649'}
[0.001925] (-) JobUnselected: {'identifier': 'icm20689'}
[0.001941] (-) JobUnselected: {'identifier': 'icm20948'}
[0.001956] (-) JobUnselected: {'identifier': 'icm40609d'}
[0.001971] (-) JobUnselected: {'identifier': 'icm42605'}
[0.001986] (-) JobUnselected: {'identifier': 'icm42670p'}
[0.002002] (-) JobUnselected: {'identifier': 'icm42688p'}
[0.002017] (-) JobUnselected: {'identifier': 'icm45686'}
[0.002032] (-) JobUnselected: {'identifier': 'iim42652'}
[0.002047] (-) JobUnselected: {'identifier': 'iim42653'}
[0.002062] (-) JobUnselected: {'identifier': 'ilabs'}
[0.002081] (-) JobUnselected: {'identifier': 'ina220'}
[0.002286] (-) JobUnselected: {'identifier': 'ina226'}
[0.002303] (-) JobUnselected: {'identifier': 'ina228'}
[0.002319] (-) JobUnselected: {'identifier': 'ina238'}
[0.002334] (-) JobUnselected: {'identifier': 'internal_combustion_engine_control'}
[0.002350] (-) JobUnselected: {'identifier': 'io_bypass_control'}
[0.002365] (-) JobUnselected: {'identifier': 'irlock'}
[0.002380] (-) JobUnselected: {'identifier': 'l3gd20'}
[0.002396] (-) JobUnselected: {'identifier': 'land_detector'}
[0.002411] (-) JobUnselected: {'identifier': 'landing_target_estimator'}
[0.002427] (-) JobUnselected: {'identifier': 'launch_kmod'}
[0.002442] (-) JobUnselected: {'identifier': 'led_control'}
[0.002457] (-) JobUnselected: {'identifier': 'leddar_one'}
[0.002472] (-) JobUnselected: {'identifier': 'lib'}
[0.002487] (-) JobUnselected: {'identifier': 'lights'}
[0.002503] (-) JobUnselected: {'identifier': 'lightware_laser_i2c'}
[0.002518] (-) JobUnselected: {'identifier': 'lightware_laser_serial'}
[0.002533] (-) JobUnselected: {'identifier': 'lightware_sf45_serial'}
[0.002549] (-) JobUnselected: {'identifier': 'linux_pwm_out'}
[0.002564] (-) JobUnselected: {'identifier': 'll40ls'}
[0.002579] (-) JobUnselected: {'identifier': 'll40ls_pwm'}
[0.002595] (-) JobUnselected: {'identifier': 'load_mon'}
[0.002610] (-) JobUnselected: {'identifier': 'local_position_estimator'}
[0.002625] (-) JobUnselected: {'identifier': 'logger'}
[0.002640] (-) JobUnselected: {'identifier': 'lsm303d'}
[0.002655] (-) JobUnselected: {'identifier': 'lsm9ds1'}
[0.002670] (-) JobUnselected: {'identifier': 'mag_bias_estimator'}
[0.002686] (-) JobUnselected: {'identifier': 'magnetometer'}
[0.002701] (-) JobUnselected: {'identifier': 'manual_control'}
[0.002716] (-) JobUnselected: {'identifier': 'mappydot'}
[0.002731] (-) JobUnselected: {'identifier': 'matlab_csv_serial'}
[0.002746] (-) JobUnselected: {'identifier': 'mavlink'}
[0.002761] (-) JobUnselected: {'identifier': 'mb12xx'}
[0.002776] (-) JobUnselected: {'identifier': 'mc_att_control'}
[0.002792] (-) JobUnselected: {'identifier': 'mc_autotune_attitude_control'}
[0.002807] (-) JobUnselected: {'identifier': 'mc_hover_thrust_estimator'}
[0.002822] (-) JobUnselected: {'identifier': 'mc_nn_control'}
[0.002838] (-) JobUnselected: {'identifier': 'mc_pos_control'}
[0.002853] (-) JobUnselected: {'identifier': 'mc_raptor'}
[0.002868] (-) JobUnselected: {'identifier': 'mc_rate_control'}
[0.002883] (-) JobUnselected: {'identifier': 'mcp23009'}
[0.002898] (-) JobUnselected: {'identifier': 'mcp23017'}
[0.002913] (-) JobUnselected: {'identifier': 'mcp9808'}
[0.002928] (-) JobUnselected: {'identifier': 'mft'}
[0.002944] (-) JobUnselected: {'identifier': 'mft_cfg'}
[0.003031] (-) JobUnselected: {'identifier': 'microbench'}
[0.003048] (-) JobUnselected: {'identifier': 'microstrain'}
[0.003064] (-) JobUnselected: {'identifier': 'mpu6000'}
[0.003085] (-) JobUnselected: {'identifier': 'mpu6500'}
[0.003102] (-) JobUnselected: {'identifier': 'mpu9250'}
[0.003120] (-) JobUnselected: {'identifier': 'ms4515'}
[0.003135] (-) JobUnselected: {'identifier': 'ms4525do'}
[0.003151] (-) JobUnselected: {'identifier': 'ms5525dso'}
[0.003166] (-) JobUnselected: {'identifier': 'msp_osd'}
[0.003181] (-) JobUnselected: {'identifier': 'mtd'}
[0.003196] (-) JobUnselected: {'identifier': 'navigator'}
[0.003212] (-) JobUnselected: {'identifier': 'netman'}
[0.003227] (-) JobUnselected: {'identifier': 'nshterm'}
[0.003242] (-) JobUnselected: {'identifier': 'offboard_rl'}
[0.003257] (-) JobUnselected: {'identifier': 'paa3905'}
[0.003273] (-) JobUnselected: {'identifier': 'param'}
[0.003288] (-) JobUnselected: {'identifier': 'paw3902'}
[0.003303] (-) JobUnselected: {'identifier': 'payload_deliverer'}
[0.003318] (-) JobUnselected: {'identifier': 'pca9685_pwm_out'}
[0.003333] (-) JobUnselected: {'identifier': 'pcf8583'}
[0.003348] (-) JobUnselected: {'identifier': 'perf'}
[0.003363] (-) JobUnselected: {'identifier': 'pga460'}
[0.003378] (-) JobUnselected: {'identifier': 'pmw3901'}
[0.003393] (-) JobUnselected: {'identifier': 'posix'}
[0.003408] (-) JobUnselected: {'identifier': 'pps_capture'}
[0.003424] (-) JobUnselected: {'identifier': 'pwm_input'}
[0.003439] (-) JobUnselected: {'identifier': 'pwm_out'}
[0.003456] (-) JobUnselected: {'identifier': 'pwm_out_sim'}
[0.003471] (-) JobUnselected: {'identifier': 'px4'}
[0.003486] (-) JobUnselected: {'identifier': 'px4_gz_plugins'}
[0.003502] (-) JobUnselected: {'identifier': 'px4_mavlink_debug'}
[0.003520] (-) JobUnselected: {'identifier': 'px4_simple_app'}
[0.003536] (-) JobUnselected: {'identifier': 'px4flow'}
[0.003564] (-) JobUnselected: {'identifier': 'px4io'}
[0.003580] (-) JobUnselected: {'identifier': 'px4iofirmware'}
[0.003595] (-) JobUnselected: {'identifier': 'qurt'}
[0.003610] (-) JobUnselected: {'identifier': 'rc_input'}
[0.003625] (-) JobUnselected: {'identifier': 'rc_update'}
[0.003640] (-) JobUnselected: {'identifier': 'reboot'}
[0.003655] (-) JobUnselected: {'identifier': 'reflect'}
[0.003671] (-) JobUnselected: {'identifier': 'replay'}
[0.003686] (-) JobUnselected: {'identifier': 'roboclaw'}
[0.003701] (-) JobUnselected: {'identifier': 'rover_ackermann'}
[0.003716] (-) JobUnselected: {'identifier': 'rover_differential'}
[0.003731] (-) JobUnselected: {'identifier': 'rover_mecanum'}
[0.003746] (-) JobUnselected: {'identifier': 'rpi_rc_in'}
[0.003761] (-) JobUnselected: {'identifier': 'rpm_capture'}
[0.003776] (-) JobUnselected: {'identifier': 'rpm_simulator'}
[0.003791] (-) JobUnselected: {'identifier': 'safety_button'}
[0.003806] (-) JobUnselected: {'identifier': 'sbgecom'}
[0.003821] (-) JobUnselected: {'identifier': 'sbus_rc'}
[0.003836] (-) JobUnselected: {'identifier': 'sch16t'}
[0.003852] (-) JobUnselected: {'identifier': 'sd_bench'}
[0.003867] (-) JobUnselected: {'identifier': 'sd_stress'}
[0.003882] (-) JobUnselected: {'identifier': 'sdp3x'}
[0.003897] (-) JobUnselected: {'identifier': 'sensor_agp_sim'}
[0.003912] (-) JobUnselected: {'identifier': 'sensor_airspeed_sim'}
[0.003927] (-) JobUnselected: {'identifier': 'sensor_baro_sim'}
[0.003942] (-) JobUnselected: {'identifier': 'sensor_gps_sim'}
[0.003957] (-) JobUnselected: {'identifier': 'sensor_mag_sim'}
[0.003972] (-) JobUnselected: {'identifier': 'sensors'}
[0.003987] (-) JobUnselected: {'identifier': 'septentrio'}
[0.004003] (-) JobUnselected: {'identifier': 'serial_passthru'}
[0.004018] (-) JobUnselected: {'identifier': 'serial_test'}
[0.004033] (-) JobUnselected: {'identifier': 'sht3x'}
[0.004048] (-) JobUnselected: {'identifier': 'shutdown'}
[0.004063] (-) JobUnselected: {'identifier': 'simulator_mavlink'}
[0.004083] (-) JobUnselected: {'identifier': 'simulator_sih'}
[0.004112] (-) JobUnselected: {'identifier': 'slpi'}
[0.004129] (-) JobUnselected: {'identifier': 'spacecraft'}
[0.004144] (-) JobUnselected: {'identifier': 'srf02'}
[0.004165] (-) JobUnselected: {'identifier': 'srf05'}
[0.004181] (-) JobUnselected: {'identifier': 'stub_keystore'}
[0.004196] (-) JobUnselected: {'identifier': 'sw_crypto'}
[0.004211] (-) JobUnselected: {'identifier': 'system_power_simulator'}
[0.004226] (-) JobUnselected: {'identifier': 'system_time'}
[0.004242] (-) JobUnselected: {'identifier': 'tap_esc'}
[0.004257] (-) JobUnselected: {'identifier': 'tattu_can'}
[0.004272] (-) JobUnselected: {'identifier': 'telemetry'}
[0.004287] (-) JobUnselected: {'identifier': 'temperature_compensation'}
[0.004302] (-) JobUnselected: {'identifier': 'template_module'}
[0.004317] (-) JobUnselected: {'identifier': 'teraranger'}
[0.004332] (-) JobUnselected: {'identifier': 'test_ppm'}
[0.004347] (-) JobUnselected: {'identifier': 'tests'}
[0.004363] (-) JobUnselected: {'identifier': 'tf02pro'}
[0.004381] (-) JobUnselected: {'identifier': 'tfmini'}
[0.004397] (-) JobUnselected: {'identifier': 'thoneflow'}
[0.004415] (-) JobUnselected: {'identifier': 'time_persistor'}
[0.004431] (-) JobUnselected: {'identifier': 'tla2528'}
[0.004447] (-) JobUnselected: {'identifier': 'tmp102'}
[0.004466] (-) JobUnselected: {'identifier': 'tone_alarm'}
[0.004482] (-) JobUnselected: {'identifier': 'top'}
[0.004498] (-) JobUnselected: {'identifier': 'topic_listener'}
[0.004513] (-) JobUnselected: {'identifier': 'transponder'}
[0.004528] (-) JobUnselected: {'identifier': 'tune_control'}
[0.004544] (-) JobUnselected: {'identifier': 'uavcan'}
[0.004559] (-) JobUnselected: {'identifier': 'uavcannode'}
[0.004575] (-) JobUnselected: {'identifier': 'ulanding_radar'}
[0.004591] (-) JobUnselected: {'identifier': 'uorb'}
[0.004606] (-) JobUnselected: {'identifier': 'usb_connected'}
[0.004622] (-) JobUnselected: {'identifier': 'uuv_att_control'}
[0.004638] (-) JobUnselected: {'identifier': 'uuv_pos_control'}
[0.004653] (-) JobUnselected: {'identifier': 'uwb'}
[0.004668] (-) JobUnselected: {'identifier': 'uxrce_dds_client'}
[0.004683] (-) JobUnselected: {'identifier': 'vectornav'}
[0.004699] (-) JobUnselected: {'identifier': 'ver'}
[0.004714] (-) JobUnselected: {'identifier': 'vertiq_io'}
[0.004729] (-) JobUnselected: {'identifier': 'vl53l0x'}
[0.004744] (-) JobUnselected: {'identifier': 'vl53l1x'}
[0.004759] (-) JobUnselected: {'identifier': 'voxl2_io'}
[0.004774] (-) JobUnselected: {'identifier': 'voxl_esc'}
[0.004789] (-) JobUnselected: {'identifier': 'voxlpm'}
[0.004804] (-) JobUnselected: {'identifier': 'vtol_att_control'}
[0.004819] (-) JobUnselected: {'identifier': 'vtx'}
[0.004835] (-) JobUnselected: {'identifier': 'vtxtable'}
[0.004850] (-) JobUnselected: {'identifier': 'work_item'}
[0.004865] (-) JobUnselected: {'identifier': 'work_queue'}
[0.004880] (-) JobUnselected: {'identifier': 'zenoh'}
[0.004900] (px4_msgs) JobQueued: {'identifier': 'px4_msgs', 'dependencies': OrderedDict()}
[0.004922] (px4_msgs) JobStarted: {'identifier': 'px4_msgs'}
[0.011685] (px4_msgs) JobProgress: {'identifier': 'px4_msgs', 'progress': 'cmake'}
[0.013423] (px4_msgs) Command: {'cmd': ['/usr/bin/cmake', '/home/telemaque/Robotics_Lab/ros2_ws/px4_msgs', '-DCMAKE_INSTALL_PREFIX=/home/telemaque/Robotics_Lab/ros2_ws/install/px4_msgs'], 'cwd': '/home/telemaque/Robotics_Lab/ros2_ws/build/px4_msgs', 'env': OrderedDict([('LESSOPEN', '| /usr/bin/lesspipe %s'), ('USER', 'telemaque'), ('LC_TIME', 'it_IT.UTF-8'), ('XDG_SESSION_TYPE', 'wayland'), ('SHLVL', '1'), ('LD_LIBRARY_PATH', '/opt/ros/humble/opt/rviz_ogre_vendor/lib:/opt/ros/humble/lib/x86_64-linux-gnu:/opt/ros/humble/lib'), ('HOME', '/home/telemaque'), ('OLDPWD', '/home/telemaque/Robotics_Lab/ros2_ws/PX4-Autopilot'), ('DESKTOP_SESSION', 'ubuntu'), ('ROS_PYTHON_VERSION', '3'), ('GNOME_SHELL_SESSION_MODE', 'ubuntu'), ('GTK_MODULES', 'gail:atk-bridge'), ('LC_MONETARY', 'it_IT.UTF-8'), ('SYSTEMD_EXEC_PID', '4129'), ('DBUS_SESSION_BUS_ADDRESS', 'unix:path=/run/user/1000/bus'), ('COLORTERM', 'truecolor'), ('IM_CONFIG_PHASE', '1'), ('WAYLAND_DISPLAY', 'wayland-0'), ('COLCON_PREFIX_PATH', '/home/telemaque/Robotics_Lab/ros2_ws/install'), ('ROS_DISTRO', 'humble'), ('LOGNAME', 'telemaque'), ('_', '/usr/bin/colcon'), ('ROS_VERSION', '2'), ('XDG_SESSION_CLASS', 'user'), ('USERNAME', 'telemaque'), ('TERM', 'xterm-256color'), ('GNOME_DESKTOP_SESSION_ID', 'this-is-deprecated'), ('ROS_LOCALHOST_ONLY', '0'), ('PATH', '/opt/ros/humble/bin:/home/telemaque/.local/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/snap/bin:/opt/xtensa-esp-elf/bin/'), ('SESSION_MANAGER', 'local/telemaque-Aspire-AV14-51:@/tmp/.ICE-unix/1882,unix/telemaque-Aspire-AV14-51:/tmp/.ICE-unix/1882'), ('XDG_MENU_PREFIX', 'gnome-'), ('LC_ADDRESS', 'it_IT.UTF-8'), ('GNOME_TERMINAL_SCREEN', '/org/gnome/Terminal/screen/953b11d7_ad87_453b_a549_bf49a03c1435'), ('GNOME_SETUP_DISPLAY', ':1'), ('XDG_RUNTIME_DIR', '/run/user/1000'), ('DISPLAY', ':0'), ('LANG', 'fr_FR.UTF-8'), ('XDG_CURRENT_DESKTOP', 'ubuntu:GNOME'), ('LC_TELEPHONE', 'it_IT.UTF-8'), ('XMODIFIERS', '@im=ibus'), ('XDG_SESSION_DESKTOP', 'ubuntu'), ('XAUTHORITY', '/run/user/1000/.mutter-Xwaylandauth.XDJJJ3'), ('LS_COLORS', 'rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=00:su=37;41:sg=30;43:ca=30;41:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.tar=01;31:*.tgz=01;31:*.arc=01;31:*.arj=01;31:*.taz=01;31:*.lha=01;31:*.lz4=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.tzo=01;31:*.t7z=01;31:*.zip=01;31:*.z=01;31:*.dz=01;31:*.gz=01;31:*.lrz=01;31:*.lz=01;31:*.lzo=01;31:*.xz=01;31:*.zst=01;31:*.tzst=01;31:*.bz2=01;31:*.bz=01;31:*.tbz=01;31:*.tbz2=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.war=01;31:*.ear=01;31:*.sar=01;31:*.rar=01;31:*.alz=01;31:*.ace=01;31:*.zoo=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.cab=01;31:*.wim=01;31:*.swm=01;31:*.dwm=01;31:*.esd=01;31:*.jpg=01;35:*.jpeg=01;35:*.mjpg=01;35:*.mjpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.webm=01;35:*.webp=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=00;36:*.au=00;36:*.flac=00;36:*.m4a=00;36:*.mid=00;36:*.midi=00;36:*.mka=00;36:*.mp3=00;36:*.mpc=00;36:*.ogg=00;36:*.ra=00;36:*.wav=00;36:*.oga=00;36:*.opus=00;36:*.spx=00;36:*.xspf=00;36:'), ('GNOME_TERMINAL_SERVICE', ':1.111'), ('SSH_AGENT_LAUNCHER', 'gnome-keyring'), ('SSH_AUTH_SOCK', '/run/user/1000/keyring/ssh'), ('AMENT_PREFIX_PATH', '/opt/ros/humble'), ('SHELL', '/bin/bash'), ('LC_NAME', 'it_IT.UTF-8'), ('QT_ACCESSIBILITY', '1'), ('GDMSESSION', 'ubuntu'), ('LESSCLOSE', '/usr/bin/lesspipe %s %s'), ('LC_MEASUREMENT', 'it_IT.UTF-8'), ('LC_IDENTIFICATION', 'it_IT.UTF-8'), ('QT_IM_MODULE', 'ibus'), ('PWD', '/home/telemaque/Robotics_Lab/ros2_ws/build/px4_msgs'), ('XDG_CONFIG_DIRS', '/etc/xdg/xdg-ubuntu:/etc/xdg'), ('XDG_DATA_DIRS', '/usr/share/ubuntu:/usr/local/share/:/usr/share/:/var/lib/snapd/desktop'), ('PYTHONPATH', '/opt/ros/humble/lib/python3.10/site-packages:/opt/ros/humble/local/lib/python3.10/dist-packages'), ('LC_NUMERIC', 'it_IT.UTF-8'), ('LC_PAPER', 'it_IT.UTF-8'), ('COLCON', '1'), ('VTE_VERSION', '6800'), ('CMAKE_PREFIX_PATH', '/opt/ros/humble')]), 'shell': False}
[0.070429] (px4_msgs) StdoutLine: {'line': b'-- The C compiler identification is GNU 11.4.0\n'}
[0.098916] (-) TimerEvent: {}
[0.121556] (px4_msgs) StdoutLine: {'line': b'-- The CXX compiler identification is GNU 11.4.0\n'}
[0.127270] (px4_msgs) StdoutLine: {'line': b'-- Detecting C compiler ABI info\n'}
[0.191834] (px4_msgs) StdoutLine: {'line': b'-- Detecting C compiler ABI info - done\n'}
[0.198973] (px4_msgs) StdoutLine: {'line': b'-- Check for working C compiler: /usr/bin/cc - skipped\n'}
[0.199133] (-) TimerEvent: {}
[0.199238] (px4_msgs) StdoutLine: {'line': b'-- Detecting C compile features\n'}
[0.199607] (px4_msgs) StdoutLine: {'line': b'-- Detecting C compile features - done\n'}
[0.202169] (px4_msgs) StdoutLine: {'line': b'-- Detecting CXX compiler ABI info\n'}
[0.265742] (px4_msgs) StdoutLine: {'line': b'-- Detecting CXX compiler ABI info - done\n'}
[0.271637] (px4_msgs) StdoutLine: {'line': b'-- Check for working CXX compiler: /usr/bin/c++ - skipped\n'}
[0.271841] (px4_msgs) StdoutLine: {'line': b'-- Detecting CXX compile features\n'}
[0.272179] (px4_msgs) StdoutLine: {'line': b'-- Detecting CXX compile features - done\n'}
[0.273524] (px4_msgs) StdoutLine: {'line': b'-- Found ament_cmake: 1.3.12 (/opt/ros/humble/share/ament_cmake/cmake)\n'}
[0.299239] (-) TimerEvent: {}
[0.399579] (-) TimerEvent: {}
[0.404439] (px4_msgs) StdoutLine: {'line': b'-- Found Python3: /usr/bin/python3 (found version "3.10.12") found components: Interpreter \n'}
[0.477201] (px4_msgs) StdoutLine: {'line': b'-- Found builtin_interfaces: 1.2.2 (/opt/ros/humble/share/builtin_interfaces/cmake)\n'}
[0.499713] (-) TimerEvent: {}
[0.524568] (px4_msgs) StdoutLine: {'line': b'-- Found rosidl_generator_c: 3.1.7 (/opt/ros/humble/share/rosidl_generator_c/cmake)\n'}
[0.532013] (px4_msgs) StdoutLine: {'line': b'-- Found rosidl_adapter: 3.1.7 (/opt/ros/humble/share/rosidl_adapter/cmake)\n'}
[0.545229] (px4_msgs) StdoutLine: {'line': b'-- Found rosidl_generator_cpp: 3.1.7 (/opt/ros/humble/share/rosidl_generator_cpp/cmake)\n'}
[0.570573] (px4_msgs) StdoutLine: {'line': b'-- Using all available rosidl_typesupport_c: rosidl_typesupport_fastrtps_c;rosidl_typesupport_introspection_c\n'}
[0.589688] (px4_msgs) StdoutLine: {'line': b'-- Using all available rosidl_typesupport_cpp: rosidl_typesupport_fastrtps_cpp;rosidl_typesupport_introspection_cpp\n'}
[0.599849] (-) TimerEvent: {}
[0.606007] (px4_msgs) StdoutLine: {'line': b'-- Found rosidl_default_generators: 1.2.0 (/opt/ros/humble/share/rosidl_default_generators/cmake)\n'}
[0.699950] (-) TimerEvent: {}
[0.800251] (-) TimerEvent: {}
[0.900536] (-) TimerEvent: {}
[1.000851] (-) TimerEvent: {}
[1.101129] (-) TimerEvent: {}
[1.201397] (-) TimerEvent: {}
[1.301720] (-) TimerEvent: {}
[1.402023] (-) TimerEvent: {}
[1.502318] (-) TimerEvent: {}
[1.602619] (-) TimerEvent: {}
[1.702928] (-) TimerEvent: {}
[1.803207] (-) TimerEvent: {}
[1.903517] (-) TimerEvent: {}
[2.003799] (-) TimerEvent: {}
[2.063628] (px4_msgs) StdoutLine: {'line': b'-- Found ament_cmake_ros: 0.10.0 (/opt/ros/humble/share/ament_cmake_ros/cmake)\n'}
[2.103896] (-) TimerEvent: {}
[2.204179] (-) TimerEvent: {}
[2.304498] (-) TimerEvent: {}
[2.404812] (-) TimerEvent: {}
[2.439730] (px4_msgs) StdoutLine: {'line': b'-- Using all available rosidl_typesupport_c: rosidl_typesupport_fastrtps_c;rosidl_typesupport_introspection_c\n'}
[2.504916] (-) TimerEvent: {}
[2.592010] (px4_msgs) StdoutLine: {'line': b'-- Using all available rosidl_typesupport_cpp: rosidl_typesupport_fastrtps_cpp;rosidl_typesupport_introspection_cpp\n'}
[2.605019] (-) TimerEvent: {}
[2.620761] (px4_msgs) StdoutLine: {'line': b'-- Found PythonInterp: /usr/bin/python3 (found suitable version "3.10.12", minimum required is "3.6") \n'}
[2.622567] (px4_msgs) StdoutLine: {'line': b'-- Found python_cmake_module: 0.10.0 (/opt/ros/humble/share/python_cmake_module/cmake)\n'}
[2.654319] (px4_msgs) StdoutLine: {'line': b'-- Found PythonLibs: /usr/lib/x86_64-linux-gnu/libpython3.10.so (found suitable version "3.10.12", minimum required is "3.5") \n'}
[2.654485] (px4_msgs) StdoutLine: {'line': b'-- Using PYTHON_EXECUTABLE: /usr/bin/python3\n'}
